Ticker,Name,Sector,Ann Return (%),Total Ret (%),Volatility (%),Sharpe,Sortino,Calmar,Treynor,Beta,Max DD (%),Skewness,Ex.Kurtosis,VaR 95% (daily),CVaR 95% (daily),Y2023 (%),Y2024 (%),Y2025 (%)
PORTFOLIO,EW Portfolio,All,42.5,600.1,21.9,1.64,1.46,1.05,0.4198,0.86,-40.6,-1.07,6.46,-2.177,-3.362,80.3,53.3,-7.4
NIFTY50,Nifty 50,Benchmark,15.6,112.9,18.1,0.5,0.46,0.41,0.0908,1.0,-38.4,-1.35,19.95,-1.525,-2.733,20.0,8.8,9.7
SUZLON.NS,Suzlon,Solar/Wind,107.6,2880.6,56.2,1.8,2.23,2.06,1.5183,0.67,-52.3,0.83,2.94,-4.734,-5.966,260.4,62.9,-16.4
CUMMINSIND.NS,Cummins India,Industrial/EPC,52.4,783.0,32.2,1.42,1.48,1.01,0.6571,0.7,-52.0,0.14,4.44,-2.822,-4.413,44.3,68.7,36.2
INOXWIND.NS,Inox Wind,Solar/Wind,82.5,1291.5,56.3,1.35,1.57,1.27,0.7857,0.97,-64.8,0.9,3.96,-4.64,-6.729,360.4,44.9,-32.7
ADANIPOWER.NS,Adani Power,Grid/Transmission,74.8,1031.8,54.6,1.25,1.5,1.1,0.5777,1.18,-67.8,0.77,7.78,-4.982,-6.32,75.3,0.8,36.6
TATAPOWER.NS,Tata Power,Grid/Transmission,49.1,598.3,37.3,1.14,1.17,0.88,0.3838,1.11,-55.6,0.25,5.17,-3.649,-5.211,61.4,18.7,-4.0
WABAG.NS,VA Tech Wabag,Water/Waste,56.0,606.1,48.0,1.03,1.22,0.84,0.5075,0.98,-66.7,0.88,4.53,-4.134,-5.735,91.6,161.7,-22.4
BHEL.NS,BHEL,Industrial/EPC,54.1,558.8,47.6,1.0,1.04,0.94,0.3779,1.26,-57.6,0.29,6.44,-4.144,-6.322,145.4,18.6,23.5
TORNTPOWER.NS,Torrent Power,Grid/Transmission,40.8,419.9,35.5,0.97,1.06,1.06,0.4753,0.72,-38.3,0.66,5.48,-3.036,-4.556,99.3,61.1,-13.5
ADANIGREEN.NS,Adani Green,Solar/Wind,54.4,476.3,52.4,0.91,0.98,0.64,0.5643,0.85,-84.4,0.2,6.44,-4.973,-6.597,-17.3,-34.8,-3.2
BLUESTARCO.NS,Blue Star,Energy Efficiency,35.9,332.0,34.3,0.86,0.95,0.75,0.4835,0.61,-48.0,0.69,4.34,-2.96,-4.388,59.1,126.8,-19.8
ABB.NS,ABB India,Industrial/EPC,34.1,309.3,33.0,0.84,0.89,0.72,0.4108,0.67,-47.3,0.44,3.87,-2.999,-4.256,74.7,48.6,-25.1
NTPC.NS,NTPC,Diversified Energy,28.1,240.4,28.2,0.77,0.79,0.73,0.2667,0.81,-38.3,-0.25,5.93,-2.5,-3.718,96.4,9.7,0.1
SIEMENS.NS,Siemens India,Industrial/EPC,30.1,258.1,30.6,0.77,0.76,0.72,0.2677,0.88,-41.9,-0.44,6.23,-2.745,-4.281,43.2,63.0,-20.8
POWERGRID.NS,Power Grid,Grid/Transmission,27.7,235.7,27.8,0.76,0.78,0.94,0.3088,0.69,-29.6,-0.21,4.35,-2.618,-3.723,57.4,35.3,-12.9
MOTHERSON.NS,Motherson,EV/Components,34.0,219.9,43.7,0.63,0.65,0.54,0.2116,1.3,-63.4,0.36,15.16,-3.712,-5.967,38.4,53.8,15.8
CESC.NS,CESC,Grid/Transmission,27.8,198.5,34.7,0.61,0.66,0.56,0.2693,0.79,-49.5,0.2,4.62,-2.96,-4.588,84.1,44.9,-5.4
THERMAX.NS,Thermax,Industrial/EPC,26.8,178.1,35.9,0.56,0.63,0.53,0.3564,0.57,-50.9,0.75,6.03,-3.109,-4.608,57.2,31.4,-25.1
KEC.NS,KEC Intl,Industrial/EPC,26.5,152.0,39.6,0.5,0.54,0.49,0.2474,0.81,-54.6,0.14,4.56,-3.59,-5.31,19.7,104.4,-38.5
HAVELLS.NS,Havells,Energy Efficiency,19.7,125.8,28.7,0.46,0.46,0.6,0.1747,0.75,-32.8,-0.11,4.35,-2.678,-4.239,25.1,23.1,-15.1
VOLTAS.NS,Voltas,Energy Efficiency,19.6,113.4,31.8,0.41,0.41,0.45,0.1518,0.87,-44.0,-0.21,5.13,-2.965,-4.461,23.0,83.6,-24.1
